Employee_ID,Age,Gender,Marital_Status,Department,Job_Role,Job_Level,Monthly_Income,Hourly_Rate,Years_at_Company,Years_in_Current_Role,Years_Since_Last_Promotion,Work_life_Balance,job_Satisfaction,Performance_Rating,Training_Hours_Last_Year,Overtime,Project_count,Average_Hours_Worked_Per_Week,Absenteeism,Work_Environment_Satisfaction,Relationship_with_Manager,Job_Involvement,Distance_From_Home,Number_of_Companies_Worked,Attrition,Age Group,Salary_band
1,39,Male,Single,Finance,Manager,5,7332,81,15,12,3,1,3,2,74,No,9,48,16,4,1,1,49,3,No,31-40,Low
2,48,Female,Divorced,Not Specified,Assistant,4,6069,55,18,7,5,1,2,2,24,Yes,9,57,10,4,1,1,25,1,No,41-50,Low
3,34,Female,Married,Marketing,Manager,4,11485,65,6,4,3,4,5,1,63,Yes,3,55,1,1,4,3,21,1,No,31-40,Low
4,39,Female,Divorced,HR,Manager,4,18707,28,12,9,1,1,1,2,4,No,9,53,2,3,4,1,46,2,No,31-40,Low
5,40,Male,Married,HR,Analyst,1,16398,92,3,9,1,3,4,3,62,No,1,54,11,1,1,1,43,4,No,31-40,Low
6,58,Male,Married,Finance,Executive,3,7305,63,25,2,3,4,5,3,84,No,1,42,11,2,3,4,4,3,Yes,51+,Low
7,38,Male,Married,Sales,Executive,3,15697,63,3,3,4,4,3,4,98,No,1,58,16,3,3,4,33,1,Yes,31-40,Low
8,43,Female,Married,Marketing,Executive,1,14506,41,16,8,0,2,4,3,75,Yes,3,45,9,2,1,4,25,2,No,41-50,Low
9,39,Female,Married,IT,Analyst,4,18105,95,17,10,2,2,3,3,51,Yes,8,42,4,3,3,1,39,4,No,31-40,Low
10,30,Male,Divorced,Sales,Assistant,4,15745,53,16,14,4,1,4,3,45,Yes,6,41,12,4,2,1,1,4,No,20-30,Low
11,43,Male,Divorced,IT,Manager,3,5601,87,13,3,7,1,4,3,76,Yes,7,58,9,1,4,3,34,4,No,41-50,Low
12,55,Female,Single,Finance,Analyst,4,13023,50,25,4,3,2,1,3,66,Yes,6,43,7,3,1,4,10,2,Yes,51+,Low
13,59,Female,Married,Marketing,Assistant,5,17216,24,15,11,5,3,1,2,75,Yes,1,38,7,1,2,3,47,1,No,51+,Low
14,43,Female,Single,Finance,Analyst,2,19911,18,24,3,3,2,3,4,46,No,5,56,7,4,2,3,7,1,No,41-50,Low
15,39,Female,Divorced,IT,Analyst,4,4411,99,12,12,4,2,2,2,33,No,7,36,13,4,1,1,22,3,Yes,31-40,Low
16,41,Male,Single,HR,Assistant,3,19773,16,29,13,6,4,4,4,19,Yes,8,49,7,1,4,1,25,3,No,41-50,Low
